entity,invoice_number,invoice_date,year,item_code,quantity,contact_raw,contact_canonical,status,account_raw,product_line,net,is_product_revenue,is_intra_group
Display Technologies,1628,2021-06-15,2021,DT-DYN-2S-360,1,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Sales - Motorised On Wall Screens,Motorised On Wall Screens,4875.0,1,1
Display Technologies,1628,2021-06-15,2021,,1,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Sales - Image Surfaces,Image Surfaces,409.5,1,1
Display Technologies,1629,2021-06-16,2021,DT-DYN-2S-420,1,Apex Tech International Ltd,Apex Tech International Ltd,Paid,Sales - Motorised On Wall Screens,Motorised On Wall Screens,5967.0,1,1
Display Technologies,1629,2021-06-16,2021,,1,Apex Tech International Ltd,Apex Tech International Ltd,Paid,Sales - Image Surfaces,Image Surfaces,370.5,1,1
Display Technologies,1629,2021-06-16,2021,DT-PHG-2,1,Apex Tech International Ltd,Apex Tech International Ltd,Paid,Sales - Port Hole Glass,Port Hole Glass,1170.0,1,1
Display Technologies,1629,2021-06-16,2021,DT-SHIP,1,Apex Tech International Ltd,Apex Tech International Ltd,Paid,Shipping Out,Shipping Out,750.0,0,1
Display Technologies,1631,2021-06-18,2021,DT-FRNT-390,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,1540.5,1,0
Display Technologies,1631,2021-06-18,2021,,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Image Surfaces,Image Surfaces,331.5,1,0
Display Technologies,1633,2021-06-24,2021,,1,Deco 2000 Co. Ltd.,Deco 2000 Co. Ltd.,Paid,Sales - Image Surfaces,Image Surfaces,136.5,1,0
Display Technologies,INV-0434,2021-06-24,2021,DT-SHIP,1,Meridian Audio Ltd,Meridian Audio Ltd,Paid,Shipping Out,Shipping Out,75.0,0,0
Display Technologies,INV-0434,2021-06-24,2021,,0,Meridian Audio Ltd,Meridian Audio Ltd,Paid,,,0.0,1,0
Display Technologies,1632,2021-06-24,2021,DT-FRNT-390,1,Prime Solutions LLC,Prime Solutions LLC,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,1540.5,1,0
Display Technologies,1632,2021-06-24,2021,,1,Prime Solutions LLC,Prime Solutions LLC,Paid,Sales - Image Surfaces,Image Surfaces,331.5,1,0
Display Technologies,1632,2021-06-24,2021,,1,Prime Solutions LLC,Prime Solutions LLC,Paid,Sales - Port Hole Glass,Port Hole Glass,546.0,1,0
Display Technologies,1634,2021-06-25,2021,,1,AV Nirvana India,AV Nirvana India,Paid,Sales - Non Motorised Mount Solutions,Non Motorised Mount Solutions,975.0,1,0
Display Technologies,1635,2021-06-25,2021,,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Mistral,Mistral,390.0,1,0
Display Technologies,1635,2021-06-25,2021,,2,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Mistral,Mistral,1092.0,1,0
Display Technologies,1639,2021-06-29,2021,DT-ACM,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Non Motorised Mount Solutions,Non Motorised Mount Solutions,292.5,1,0
Display Technologies,1640,2021-06-29,2021,,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Non Motorised Mount Solutions,Non Motorised Mount Solutions,295.0,1,0
Display Technologies,1638,2021-06-29,2021,DT-MMD,1,PMC,PMC,Paid,Sales - Motorised Mount Solutions,Motorised Mount Solutions,2925.0,1,0
Display Technologies,1641,2021-06-30,2021,DT-FRNT-390,1,Genesis Home Technologies SL,Genesis Home Technologies SL,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,1540.5,1,0
