source_file,entity,entity_role,invoice_number,invoice_date,year,item_code,quantity,contact_raw,contact_canonical,status,account_raw,product_line,category,category_source,carried_brand,supply,net,is_product_revenue,is_intra_group,description,item_description
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0866,2012-03-14,2012,,14,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - STEALTH,STEALTH,Speakers,brand-map,Stealth Acoustics,carried,7000.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0866,2012-03-14,2012,,6,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - STEALTH,STEALTH,Speakers,brand-map,Stealth Acoustics,carried,2100.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0866,2012-03-14,2012,,16,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - STEALTH,STEALTH,Speakers,brand-map,Stealth Acoustics,carried,1440.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0866,2012-03-14,2012,,7,Smartcomm Ltd,Smartcomm Ltd,Paid,Sales - STEALTH,STEALTH,Speakers,brand-map,Stealth Acoustics,carried,1050.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0867,2012-03-14,2012,,1,Gibson Integration Ltd,Gibson Integration Ltd,Paid,Sales - LEON,LEON,Speakers,brand-map,Leon Speakers,carried,984.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0867,2012-03-14,2012,,1,Gibson Integration Ltd,Gibson Integration Ltd,Paid,,,Unclassified,unclassified,,unknown,0.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0867,2012-03-14,2012,,1,Gibson Integration Ltd,Gibson Integration Ltd,Paid,Sales - LEON,LEON,Speakers,brand-map,Leon Speakers,carried,132.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0893,2012-03-14,2012,,1,Marquee Installations Ltd,Marquee Installations Ltd,Paid,Sales - LEON,LEON,Speakers,brand-map,Leon Speakers,carried,852.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0893,2012-03-14,2012,,1,Marquee Installations Ltd,Marquee Installations Ltd,Paid,,,Unclassified,unclassified,,unknown,0.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0893,2012-03-14,2012,,1,Marquee Installations Ltd,Marquee Installations Ltd,Paid,Sales - LEON,LEON,Speakers,brand-map,Leon Speakers,carried,132.0,1,0,,
